u.baidu.com                   	220.181.32.71
gp.baidu.com                  	106.39.162.54
fm.baidu.com                  	180.76.141.217, 180.76.183.17
du.baidu.com                  	14.215.178.36, 14.215.178.37
wm.baidu.com                  	220.181.163.64, 220.181.57.71
ci.baidu.com                  	220.181.111.137
m2.baidu.com                  	115.239.217.67, 115.239.217.68
pp.baidu.com                  	180.149.131.73
ko.baidu.com                  	106.39.162.74
bms.baidu.com                 	220.181.112.149
mux.baidu.com                 	180.76.153.179
udc.baidu.com                 	180.149.131.33
agf.baidu.com                 	180.149.131.33
m3.baidu.com                  	115.239.217.67, 115.239.217.68
h5.baidu.com                  	202.108.23.198, 202.108.23.199
bdp.baidu.com                 	111.206.223.214, 180.149.133.208
zw.baidu.com                  	180.149.131.88, 220.181.163.54
xi.baidu.com                  	180.97.104.44
im.baidu.com                  	180.149.144.125
jbr.baidu.com                 	180.149.145.248
r.baidu.com                   	180.149.131.33
msg.baidu.com                 	220.181.112.49
vx.baidu.com                  	180.149.131.248, 220.181.57.196
msh.baidu.com                 	106.39.162.125
um.baidu.com                  	180.149.132.76
pos.baidu.com                 	14.215.177.50
s.baidu.com                   	180.149.131.18
p.baidu.com                   	180.149.131.104
mem.baidu.com                 	106.39.162.104
ta.baidu.com                  	180.97.34.199
zdm.baidu.com                 	220.181.57.55
ani.baidu.com                 	180.76.131.120
hot.baidu.com                 	180.149.131.33
bpa.baidu.com                 	180.149.132.152
gmu.baidu.com                 	202.108.23.198, 202.108.23.199
q.baidu.com                   	61.135.185.212
che.baidu.com                 	183.232.231.89
cam.baidu.com                 	220.181.112.149
mai.baidu.com                 	220.181.57.55
voc.baidu.com                 	220.181.111.117
jin.baidu.com                 	106.39.162.91
wo.baidu.com                  	115.239.217.137
g8.baidu.com                  	220.181.32.114
cu.baidu.com                  	180.97.36.41
g9.baidu.com                  	220.181.32.114
mbs.baidu.com                 	220.181.112.210
mcp.baidu.com                 	220.181.163.54
ke.baidu.com                  	180.149.133.164, 220.181.57.234
orz.baidu.com                 	180.149.132.105
waf.baidu.com                 	220.181.57.94
tg.baidu.com                  	180.149.132.183
tf.baidu.com                  	118.123.210.37
dpl.baidu.com                 	103.235.46.107
bdt.baidu.com                 	220.181.3.223
zz.baidu.com                  	220.181.7.186
msm.baidu.com                 	180.149.131.104
kf.baidu.com                  	180.149.144.111
pi.baidu.com                  	180.149.131.104
kid.baidu.com                 	180.149.131.33
m6.baidu.com                  	115.239.217.67, 115.239.217.68
dev.baidu.com                 	180.97.36.41
img.baidu.com                 	115.239.211.92
mms.baidu.com                 	180.97.33.107, 180.97.33.108
bim.baidu.com                 	106.120.159.149
l.baidu.com                   	180.149.132.16
yz.baidu.com                  	180.149.131.142
dns.baidu.com                 	202.108.22.220
bsb.baidu.com                 	111.206.223.245, 115.239.211.59
abc.baidu.com                 	180.97.33.107, 180.97.33.108
ir.baidu.com                  	65.200.22.209, 65.200.22.217
vs.baidu.com                  	180.97.33.57
vr.baidu.com                  	115.239.217.137
sso.baidu.com                 	61.135.162.231
zc.baidu.com                  	180.149.133.221
dai.baidu.com                 	180.149.131.12
is.baidu.com                  	180.149.131.33
m.baidu.com                   	14.215.178.36, 14.215.178.37
g2.baidu.com                  	220.181.32.114
ice.baidu.com                 	180.149.131.77
apm.baidu.com                 	220.181.32.119
h2.baidu.com                  	180.149.133.110
mad.baidu.com                 	180.149.131.201
msp.baidu.com                 	118.123.210.48
th.baidu.com                  	111.13.101.208, 123.125.114.144, 180.149.132.47, 220.181.57.217
pan.baidu.com                 	180.149.145.241
sip.baidu.com                 	220.181.50.172
j.baidu.com                   	220.181.57.166
m4.baidu.com                  	115.239.217.67, 115.239.217.68
ime.baidu.com                 	106.39.162.71
ttl.baidu.com                 	220.181.163.54
g3.baidu.com                  	220.181.32.114
g4.baidu.com                  	220.181.32.114
cha.baidu.com                 	220.181.57.184
cp.baidu.com                  	61.155.137.249
k.baidu.com                   	180.149.132.61
m5.baidu.com                  	115.239.217.67, 115.239.217.68
sd.baidu.com                  	103.235.46.69
asp.baidu.com                 	220.181.57.146
rp.baidu.com                  	61.135.185.153
g5.baidu.com                  	220.181.32.114
tm.baidu.com                  	220.181.7.190
mr.baidu.com                  	180.149.132.232, 220.181.112.197
tl.baidu.com                  	180.149.133.184
app.baidu.com                 	180.149.131.88, 220.181.163.54
jh.baidu.com                  	180.149.133.184
mtf.baidu.com                 	180.149.133.184
i.baidu.com                   	220.181.112.74
ms.baidu.com                  	180.149.131.16
dz.baidu.com                  	61.135.185.212
axe.baidu.com                 	123.125.65.230
hmt.baidu.com                 	180.149.131.68
f.baidu.com                   	220.181.111.202, 61.135.186.150
dxz.baidu.com                 	180.149.133.184
rpc.baidu.com                 	180.149.144.106
lsp.baidu.com                 	111.206.44.16
op.baidu.com                  	220.181.57.166
g.baidu.com                   	182.61.9.124
sbq.baidu.com                 	115.239.217.137
2b.baidu.com                  	180.149.131.12
q8.baidu.com                  	112.80.248.28, 61.135.185.26
xyx.baidu.com                 	115.239.217.93
tag.baidu.com                 	180.149.132.30
zg.baidu.com                  	180.149.133.184
jn.baidu.com                  	180.149.132.81
zf.baidu.com                  	220.181.163.215
ext.baidu.com                 	14.215.177.166
wk.baidu.com                  	180.149.133.164, 220.181.57.234
vse.baidu.com                 	119.75.222.172
vod.baidu.com                 	220.181.163.144
cct.baidu.com                 	111.202.114.88
wl.baidu.com                  	180.149.133.184
or.baidu.com                  	180.149.131.88, 220.181.163.54
bjh.baidu.com                 	220.181.163.54
ww.baidu.com                  	220.181.57.216, 220.181.57.217
zd.baidu.com                  	180.149.133.150
apk.baidu.com                 	180.149.131.26
fcs.baidu.com                 	220.181.112.43
mie.baidu.com                 	180.149.133.164, 220.181.57.234
csf.baidu.com                 	58.217.200.96
wkm.baidu.com                 	180.149.133.164, 220.181.57.234
pdc.baidu.com                 	220.181.112.43
q7.baidu.com                  	180.97.33.30
sm.baidu.com                  	220.181.163.215
aqb.baidu.com                 	183.60.136.156
yb.baidu.com                  	180.149.133.188
zj.baidu.com                  	220.181.163.170
sxk.baidu.com                 	220.181.57.89
law.baidu.com                 	123.125.115.242, 220.181.112.208
yc.baidu.com                  	180.97.34.232, 180.97.93.28
q4.baidu.com                  	111.13.100.118, 117.185.16.22
fa.baidu.com                  	180.97.34.42
3g.baidu.com                  	14.215.178.36, 14.215.178.37
pai.baidu.com                 	180.97.33.91
bar.baidu.com                 	115.239.217.137
wan.baidu.com                 	106.39.162.102
c.baidu.com                   	220.181.112.25
a.baidu.com                   	220.181.57.146
8.baidu.com                   	180.149.133.221
yd.baidu.com                  	180.149.133.164, 220.181.57.234
han.baidu.com                 	180.76.141.217, 180.76.183.17
lmc.baidu.com                 	123.125.114.187, 180.149.132.31
gk.baidu.com                  	180.149.133.164, 220.181.57.234
cid.baidu.com                 	115.239.217.85
csdk.baidu.com                	123.125.114.197
hb.baidu.com                  	106.120.159.158
box.baidu.com                 	180.76.141.217, 180.76.183.17
sme.baidu.com                 	180.149.133.177
etf.baidu.com                 	106.39.162.54
zh.baidu.com                  	220.181.164.200
mtn.baidu.com                 	180.149.131.88, 220.181.163.54
ly.baidu.com                  	115.239.217.174
q2.baidu.com                  	180.97.33.30
vul.baidu.com                 	180.76.146.52
you.baidu.com                 	115.239.217.174
sda.baidu.com                 	180.97.36.110
pna.baidu.com                 	220.181.57.55
hm.baidu.com                  	220.181.7.190
hit.baidu.com                 	180.97.33.57
zhi.baidu.com                 	180.149.133.150
yun.baidu.com                 	180.149.145.241
usp.baidu.com                 	220.181.57.244
q3.baidu.com                  	180.97.33.30
tw.baidu.com                  	220.181.57.216, 220.181.57.217
tv.baidu.com                  	180.149.144.48
yl.baidu.com                  	180.149.133.209, 61.135.186.123
zn.baidu.com                  	220.181.7.186
gm.baidu.com                  	180.149.131.68
psa.baidu.com                 	220.181.57.146
psc.baidu.com                 	115.239.210.76
cts.baidu.com                 	112.80.248.234, 202.108.23.221
etc.baidu.com                 	202.108.23.198, 202.108.23.199
7.baidu.com                   	61.135.185.212
obp.baidu.com                 	111.13.101.196
ued.baidu.com                 	180.76.166.215
jz.baidu.com                  	220.181.164.200
